Event,Time
[EX] First General Meeting,2015-01-27 04:00:00 UTC
Bechtel Infosession,2015-01-28 01:30:00 UTC
[PD] Alumni Speaker Panel,2015-01-29 03:30:00 UTC
CM Interviews,2015-01-31 00:00:00 UTC
[SO] Recruitment Mixer,2015-01-31 02:00:00 UTC
[IN] Member’s Kickoff,2015-02-04 03:00:00 UTC
CM Welcome Social,2015-02-07 20:00:00 UTC
PBL Orientation,2015-02-08 23:00:00 UTC
Administrative Holiday,2015-02-16 00:00:00 UTC
Spring Break,2015-03-23 00:00:00 UTC
State Business Leadership Conference,2015-03-27 00:00:00 UTC
[PBL] Alumni Dinner,2015-02-09 03:00:00 UTC
[OF] Meeting #2,2015-02-10 05:00:00 UTC
[SO] First Social Event - Bowling,2015-02-13 03:00:00 UTC
[IN] Valentine's Social,2015-02-14 03:00:00 UTC
[SO] First Event,2015-02-16 21:00:00 UTC
[PD] Resume Critique,2015-02-20 02:00:00 UTC
[GM] Meeting #1,2015-02-24 02:00:00 UTC
[EX] Second General Meeting,2015-02-26 03:00:00 UTC
[PD] Mock Interviews,2015-02-27 02:00:00 UTC
[PD] Apprentice,2015-03-02 02:00:00 UTC
[SO] Retreat,2015-03-06 00:00:00 UTC
[GM] Meeting #2,2015-03-10 01:00:00 UTC
[CO] Case Competition,2015-03-12 02:00:00 UTC
[IN] Karaoke Night,2015-03-14 02:00:00 UTC
[IN] Boardgame Night,2015-03-22 02:30:00 UTC
[GM] Meeting #3,2015-03-31 01:00:00 UTC
[FI] Apprenice,2015-04-01 02:00:00 UTC
[EX] Third General Meeting,2015-04-02 02:00:00 UTC
Tentative 10th Anniversary Reception,2015-04-03 00:00:00 UTC
[CS] Springland,2015-04-05 17:30:00 UTC
[HT] Apprentice,2015-04-06 00:00:00 UTC
[MK] Internal Case Comp,2015-04-07 00:00:00 UTC
[SO] Social CM Event,2015-04-11 01:00:00 UTC
[IN] Cat Cafe,2015-04-11 21:00:00 UTC
GM Meeting #4,2015-04-14 01:00:00 UTC
[EX] Apprentice Challenge,2015-04-15 02:00:00 UTC
[WD] Web Development Workshop,2015-04-18 02:00:00 UTC
NOVUM,2015-04-21 00:00:00 UTC
[HT] Long Movie Premiere,2015-04-29 01:00:00 UTC
[EX] Workshop #6 - Strategic Leadership and Team Management,2015-04-15 02:00:00 UTC
[OF] Meeting #3,2015-02-02 00:00:00 UTC
[ESC][PBL] Ford Day,2015-02-20 02:00:00 UTC
[OF] Meeting #4,2015-02-24 05:00:00 UTC
[CS] iNetwork,2015-02-28 23:00:00 UTC
[EX] Workshop #1 - Network Expansion and Management,2015-03-03 03:00:00 UTC
[OF] Meeting #5,2015-03-03 05:00:00 UTC
[EX] Workshop #2 - Career Advisory Panel,2015-03-10 02:00:00 UTC
[CS] Berkeley Project,2015-03-14 15:00:00 UTC
[EX] Workshop #3 - Professional Emails and Email Management,2015-03-17 02:00:00 UTC
[PD] CAREER FAIR,2015-03-19 23:00:00 UTC
[EX] Workshop #4 - Excel Functions and Applications,2015-03-31 02:00:00 UTC
[IN] Board Game Night,2015-03-01 03:00:00 UTC
"iNetwork (Workshop, Tour, Mentorship)",2015-03-01 17:00:00 UTC
[CO] Consulting Workshop,2015-03-05 03:00:00 UTC
[OF] Meeting #6,2015-03-10 04:00:00 UTC
[PD] DropBox Tour,2015-02-25 03:00:00 UTC
[PB] Apprentice,2015-03-06 04:00:00 UTC
NBC Universal (Collaboration with ImagiCal),2015-03-12 01:30:00 UTC
[OF] Meeting #7,2015-03-17 04:00:00 UTC
[EX] Faculty Meeting with Professor Shultz,2015-03-18 23:00:00 UTC
[EX] Dinner with Accenture,2015-03-19 02:30:00 UTC
[PD] DropBox Tour,2015-03-20 02:00:00 UTC
[PBL] Faculty Mentorship Dinner with Professor Fitch,2015-04-03 01:00:00 UTC
[EX] Workshop #5 - Slide Design and Presentations (Mar 30),2015-04-08 02:00:00 UTC
[PD] Apprentice Challenge,2015-04-09 01:00:00 UTC
